;1950;1960;1970;1980;1990;2000;2010;2020;2030;2040;2050;2060;2070;2080;2090
GFDL-ESM2M hist_rcp2p6;-2830;-2712;-2503;-2365;-2435;-2233;-2684;-2828;-2421;-2720;-2060;-2904;-2224;-2652;-2776
GFDL-ESM2M hist_rcp4p5;-2830;-2712;-2503;-2365;-2435;-2745;-2108;-2489;-3709;-2692;-3214;-2786;-3388;-2778;-3563
GFDL-ESM2M hist_rcp6p0;-2830;-2712;-2503;-2365;-2435;-2492;-2382;-3116;-2763;-2629;-2773;-2281;-3225;-3438;-3052
GFDL-ESM2M hist_rcp8p5;-2830;-2712;-2503;-2365;-2435;-1964;-2782;-2549;-3379;-3170;-3336;-3369;-3693;-4633;-3398
HadGEM2-ES hist_rcp2p6;-2153;-3170;-1833;-2084;-2951;-1938;-2792;-4447;-3864;-3906;-3275;-3625;-3837;-4012;-3786
HadGEM2-ES hist_rcp4p5;-2153;-3170;-1833;-2084;-2951;-2422;-2948;-3766;-3093;-4192;-4117;-5309;-3566;-4140;-4414
HadGEM2-ES hist_rcp6p0;-2153;-3170;-1833;-2084;-2951;-2804;-2420;-3442;-3721;-3045;-3311;-4119;-4418;-4332;-4525
HadGEM2-ES hist_rcp8p5;-2153;-3170;-1833;-2084;-2951;-2695;-2996;-3516;-3213;-3995;-4931;-4432;-4969;-5838;-6051
IPSL-CM5A-LR hist_rcp2p6;-2483;-2183;-2631;-2880;-2468;-2344;-2476;-2638;-2644;-2834;-2503;-2422;-2796;-2184;-2086
IPSL-CM5A-LR hist_rcp4p5;-2483;-2183;-2631;-2880;-2468;-2316;-2520;-2687;-2822;-2715;-2693;-2666;-2973;-3372;-2934
IPSL-CM5A-LR hist_rcp6p0;-2483;-2183;-2631;-2880;-2468;-2192;-2857;-2409;-2215;-2910;-2197;-3233;-2798;-3574;-3074
IPSL-CM5A-LR hist_rcp8p5;-2483;-2183;-2631;-2880;-2468;-2000;-2498;-2384;-2370;-3127;-2731;-3566;-4154;-4676;-4607
MIROC-ESM-CHEM hist_rcp2p6;-2132;-2734;-2545;-2230;-2360;-2311;-2460;-2994;-3145;-3308;-2945;-3095;-2599;-2824;-2433
MIROC-ESM-CHEM hist_rcp4p5;-2132;-2734;-2545;-2230;-2360;-2072;-2599;-3316;-2925;-3238;-2515;-3149;-3636;-1680;-2999
MIROC-ESM-CHEM hist_rcp6p0;-2132;-2734;-2545;-2230;-2360;-2327;-2936;-2166;-2603;-3011;-2559;-3052;-1889;-2647;-3466
MIROC-ESM-CHEM hist_rcp8p5;-2132;-2734;-2545;-2230;-2360;-2204;-2583;-2343;-2882;-3268;-3239;-2867;-3372;-3759;-3827
NorESM1-M hist_rcp2p6;-2628;-2623;-1872;-2376;-3137;-2792;-3004;-3189;-2630;-3024;-2628;-2984;-2951;-2545;-2446
NorESM1-M hist_rcp4p5;-2628;-2623;-1872;-2376;-3137;-2651;-2967;-3046;-2806;-3235;-3326;-3482;-2915;-3506;-3490
NorESM1-M hist_rcp6p0;-2628;-2623;-1872;-2376;-3137;-3080;-2567;-2787;-3067;-3070;-2950;-2901;-3183;-3563;-3876
NorESM1-M hist_rcp8p5;-2628;-2623;-1872;-2376;-3137;-2729;-2762;-3604;-2973;-3365;-3267;-3597;-3666;-4361;-4327
Mean;-2445,2;-2684,4;-2276,8;-2387;-2670,2;-2415,55;-2667,05;-2985,8;-2962,25;-3172,7;-3028,5;-3291,95;-3312,6;-3525,7;-3556,5
Max;-2830;-3170;-2631;-2880;-3137;-3080;-3004;-4447;-3864;-4192;-4931;-5309;-4969;-5838;-6051
Min;-2132;-2183;-1833;-2084;-2360;-1938;-2108;-2166;-2215;-2629;-2060;-2281;-1889;-1680;-2086